University Name,Year Founded,Latitude,Longitude
Vilnius University,1579,54.683225,25.287984
University of Tartu,1632,58.381084,26.719866
Saint Petersburg State University,1724,59.762667,30.358727
Moscow State University,1755,55.702297,37.531798
The Kharkiv University,1804,50.00509,36.239034
